term,OR,CI_lo,CI_hi,p
Intercept,0.4833431147147716,0.3029858173613148,0.771061063441069,0.0022806719658908826
C(race_ethnicity)[T.Non-Hispanic Black],1.3182054594256596,1.058987924922486,1.6408738875722355,0.013398489822919043
C(race_ethnicity)[T.Non-Hispanic White],1.5316646594170662,1.212422888499381,1.9349656387721645,0.0003499975691356705
C(race_ethnicity)[T.Other Hispanic],1.0795281582720637,0.8069550446580022,1.4441709636949813,0.6062804230146229
C(race_ethnicity)[T.Other/Multi],1.5431662375050248,1.1374816509481895,2.0935388580469345,0.005308341090169222
C(smoking)[T.Former],1.0970921389678814,0.863575990140727,1.3937524608447978,0.44795245992263266
C(smoking)[T.Never],0.9933138662609062,0.7957570624970285,1.2399166572396887,0.9527180138998638
cancer,1.329077246391661,1.0256267007321074,1.7223092238288302,0.03145132742716886
depressed,0.9660369105918214,0.7447416977842855,1.2530885747397755,0.7946256947501151
cancer:depressed,0.6194487743848477,0.3517866827287236,1.0907655204867117,0.09711375083924131
age,1.007020224021294,1.000539547224568,1.0135428773414468,0.033694202072720135
female,1.4893982202713647,1.2819069397336933,1.7304743345943234,1.945312575835786e-07
obese,0.7728731507015351,0.6478624871350336,0.9220057017297499,0.004209421987127303
