term,OR,CI_lo,CI_hi,p
Intercept,10.970013208275423,8.242083135924366,14.600822122894145,1.3950594735058368e-60
C(race_ethnicity)[T.Non-Hispanic Black],0.6907700921138578,0.6055651878245749,0.7879635912908787,3.6316117112051236e-08
C(race_ethnicity)[T.Non-Hispanic White],1.230211563112797,1.0687165186383154,1.4161103188942255,0.003907262934028371
C(race_ethnicity)[T.Other Hispanic],0.9457708065290867,0.7777998813117698,1.1500161416508867,0.5762455023235001
C(race_ethnicity)[T.Other/Multi],1.0749130238519347,0.8613075243890845,1.3414929930700985,0.5227610783410463
C(smoking)[T.Former],1.0944186756950534,0.932399650317272,1.284591041301388,0.269715463577346
C(smoking)[T.Never],0.9703654822966861,0.8327710860168732,1.130693878598232,0.6998076204788974
cancer,1.2583111457808451,1.098946582569344,1.440786080697779,0.0008824148155229103
depressed,1.0454721913354195,0.8782257113668465,1.244568553059725,0.6170880336418753
cancer:depressed,0.7839696502413154,0.5299746182383717,1.1596940520329828,0.2230991804410425
age,0.9692825109442134,0.9653873551605021,0.9731933829463919,4.380545960489922e-52
female,1.135525417687813,1.01924418265721,1.2650726844018063,0.021123112679947143
obese,1.0041383691051675,0.9063666627238809,1.1124569181295632,0.9370212550096128
