term,OR,CI_lo,CI_hi,p
Intercept,0.0785946955416015,0.06603380882172974,0.0935449018843258,3.0782514238601457e-180
C(race_ethnicity)[T.Non-Hispanic Black],0.6989597078493293,0.6054655414234165,0.8068909620327488,1.0154024063275558e-06
C(race_ethnicity)[T.Non-Hispanic White],0.9687654963505166,0.8535948315129656,1.0994754797844715,0.6231410242859734
C(race_ethnicity)[T.Other Hispanic],0.9131870674249665,0.7596313605849887,1.0977832977696174,0.3336492378790674
C(race_ethnicity)[T.Other/Multi],0.9765016326678415,0.813498177325141,1.1721666565232398,0.7985778140725006
C(smoking)[T.Former],0.8387767044290166,0.7331113474646586,0.95967190021802,0.010492609141365282
C(smoking)[T.Never],0.78669949784817,0.6974345834037535,0.8873894622404696,9.453655953938336e-05
cancer,0.857562334005686,0.7100488143708047,1.0357219698436526,0.11059572125028902
depressed,1.1378373875177603,0.9364481763958744,1.3825366454511958,0.19384503969649558
cancer:depressed,1.2497668908158608,0.7861903235469595,1.986691052533986,0.3457971977715706
age,1.0157644508090804,1.0133383123304167,1.0181963979578061,1.2688233938531671e-37
female,1.276278399234445,1.1651618286387977,1.3979916886355495,1.528616340840785e-07
obese,0.9822527742224924,0.8891535813048369,1.085099956581071,0.7245025485249803
