Model,Variable,HR,CI_low,CI_high,P,HR_CI
Unadjusted,Diabetes,1.5565688061049996,1.394641426226565,1.7372970589972518,<0.001,"1.56 (1.39, 1.74)"
Unadjusted,Hypertension,1.6391591363436568,1.4835015465242556,1.8111492236418456,<0.001,"1.64 (1.48, 1.81)"
Unadjusted,Obesity (BMI>=30),0.7327672138030882,0.6593467541089877,0.8143632865082479,<0.001,"0.73 (0.66, 0.81)"
Age-sex adjusted,Diabetes,1.344556459682379,1.2047462899488526,1.5005915256650126,<0.001,"1.34 (1.20, 1.50)"
Age-sex adjusted,Hypertension,1.1804464816335565,1.067973919667179,1.30476397441924,0.001,"1.18 (1.07, 1.30)"
Age-sex adjusted,Obesity (BMI>=30),0.9482753363514635,0.8519537418784289,1.0554870168770245,0.331,"0.95 (0.85, 1.06)"
Fully adjusted,Diabetes,1.3073767566251087,1.1650897896724883,1.4670405653834295,<0.001,"1.31 (1.17, 1.47)"
Fully adjusted,Hypertension,1.1318542145910295,1.0211953903703614,1.2545042556673276,0.018,"1.13 (1.02, 1.25)"
Fully adjusted,Obesity (BMI>=30),0.8879881437556537,0.7941118264156833,0.9929620957915991,0.037,"0.89 (0.79, 0.99)"
Fully adjusted,Age (per year),1.08684728891314,1.0803083423470101,1.0934258147554066,<0.001,"1.09 (1.08, 1.09)"
Fully adjusted,Female,0.79942264416202,0.72291961706286,0.8840216103077835,<0.001,"0.80 (0.72, 0.88)"
Fully adjusted,Black (vs White),1.2726896241008527,1.102052280750641,1.4697477674931327,0.001,"1.27 (1.10, 1.47)"
Fully adjusted,Mexican Am (vs White),0.9103748320436044,0.7262649188306673,1.1411570534796216,0.415,"0.91 (0.73, 1.14)"
Fully adjusted,Other Hispanic,0.7638962311256121,0.5564716877295068,1.0486381693718154,0.096,"0.76 (0.56, 1.05)"
Fully adjusted,Other/Multi race,0.907461752195984,0.665683849296042,1.2370539447057933,0.539,"0.91 (0.67, 1.24)"
Fully adjusted,Former smoker,1.2588328097754111,1.1310229003269825,1.401085727361423,<0.001,"1.26 (1.13, 1.40)"
Fully adjusted,Current smoker,2.2722979061523474,1.93875256627586,2.6632267903183595,<0.001,"2.27 (1.94, 2.66)"
Burden,0 conditions (ref),1.0,1.0,1.0,---,1.00 (ref)
Burden,1 condition,1.1125295984877812,0.9844106210196581,1.2573229921364968,0.088,"1.11 (0.98, 1.26)"
Burden,2 conditions,1.1898414168331437,1.03529806794509,1.3674541091547652,0.014,"1.19 (1.04, 1.37)"
Burden,3 conditions,1.302273419325223,1.081841866594216,1.567619178965573,0.005,"1.30 (1.08, 1.57)"
