Analysis,HR,CI_low,CI_high,P,N,Events,P_fmt,HR_CI
Diabetes: Composite (main),1.2953902929084413,1.1586409995391675,1.4482795029943112,5.446341766874032e-06,4715,1676,<0.001,1.30 (1.16-1.45)
Diabetes: HbA1c only,1.281135333811472,1.1172726541444358,1.4690306233236161,0.00038806947338922626,4403,1517,<0.001,1.28 (1.12-1.47)
Obesity: BMI>=30 (main),0.9563408588940846,0.858365078785303,1.0654998216895484,0.4182286382409077,4715,1676,0.418,0.96 (0.86-1.07)
Obesity: BMI>=25,0.7953332333415364,0.7173284919705787,0.8818204757485739,1.374583384074518e-05,4715,1676,<0.001,0.80 (0.72-0.88)
Obesity: BMI>=35,1.0191687625536496,0.8676180003954768,1.1971915821152583,0.8171913249010625,4715,1676,0.817,1.02 (0.87-1.20)
BMI: per 5 kg/m2,0.9357893232139722,0.8926851801537751,0.9809747903403244,0.005809773405290093,4715,1676,0.006,0.94 (0.89-0.98)
Diabetes: Exclude <1yr,1.2982288986484745,1.1548277010593446,1.4594369980387414,1.2402863509842285e-05,4578,1539,<0.001,1.30 (1.15-1.46)
Hypertension: Exclude <1yr,1.175807230970716,1.057643487085237,1.30717265438198,0.0027257715120190167,4578,1539,0.003,1.18 (1.06-1.31)
Obesity: Exclude <1yr,0.9884116210856827,0.8832928673255013,1.1060403280005313,0.8389986277224014,4578,1539,0.839,0.99 (0.88-1.11)
Diabetes: Male,1.1653240029453968,1.0031245139524456,1.3537502203889518,0.045418331668187546,2224,968,0.045,1.17 (1.00-1.35)
Hypertension: Male,1.1403934212610554,0.9997442661788125,1.3008298214364455,0.05044682621702739,2224,968,0.050,1.14 (1.00-1.30)
Obesity: Male,0.9231142245416224,0.7986376980387754,1.0669917957087318,0.27901115596951415,2224,968,0.279,0.92 (0.80-1.07)
Diabetes: Female,1.4706824263633158,1.2440258957945989,1.7386348680727202,6.27519508684981e-06,2491,708,<0.001,1.47 (1.24-1.74)
Hypertension: Female,1.1389202023942626,0.9702861183347877,1.3368626046592815,0.11160439413534994,2491,708,0.112,1.14 (0.97-1.34)
Obesity: Female,0.9832747745923192,0.8345918983863712,1.158445563896411,0.8401979429718178,2491,708,0.840,0.98 (0.83-1.16)
Diabetes: Early (1999-2008),1.315242683833348,1.143459984613183,1.5128324039798713,0.0001244171310604641,2101,1131,<0.001,1.32 (1.14-1.51)
Hypertension: Early (1999-2008),1.1022895990566843,0.9759909283317586,1.2449320223348725,0.11675145432553678,2101,1131,0.117,1.10 (0.98-1.24)
Obesity: Early (1999-2008),0.9855284347261773,0.8625099558621788,1.126092851511419,0.8303243028972561,2101,1131,0.830,0.99 (0.86-1.13)
Diabetes: Late (2009-2018),1.2837685177644211,1.0657887807474447,1.546330414594215,0.008512075976606803,2614,545,0.009,1.28 (1.07-1.55)
Hypertension: Late (2009-2018),1.277241691700594,1.0583310408754096,1.5414329505716944,0.010742069670813452,2614,545,0.011,1.28 (1.06-1.54)
Obesity: Late (2009-2018),0.9041971782156599,0.7507605961078453,1.0889923383455238,0.28849571464180335,2614,545,0.288,0.90 (0.75-1.09)
