Variable,Cancer Survivors,No Cancer,P-value
N,"4,715","46,453",
"Age, mean (SD)",65.7 (14.4),47.8 (17.7),<0.001
  20-39,328 (7.0),"17,398 (37.5)",<0.001
  40-59,978 (20.7),"15,310 (33.0)",
  60-79,"2,407 (51.0)","11,323 (24.4)",
  80+,"1,002 (21.3)","2,422 (5.2)",
"Female, n (%)","2,491 (52.8)","24,075 (51.8)",0.193
  Non-Hispanic White,"3,258 (69.1)","19,189 (41.3)",<0.001
  Non-Hispanic Black,666 (14.1),"10,118 (21.8)",
  Mexican American,336 (7.1),"8,632 (18.6)",
  Other Hispanic,244 (5.2),"3,968 (8.5)",
  Other/Multi,211 (4.5),"4,546 (9.8)",
"BMI, mean (SD)",28.8 (6.4),29.0 (6.8),0.070
  Underweight,83 (1.8),753 (1.6),0.057
  Normal,"1,282 (27.2)","13,129 (28.3)",
  Overweight,"1,672 (35.5)","15,616 (33.6)",
  Obese,"1,678 (35.6)","16,954 (36.5)",
"HbA1c %, mean (SD)",5.9 (1.0),5.7 (1.1),<0.001
"Diabetes, n (%)","1,033 (21.9)","6,510 (14.0)",<0.001
"Hypertension, n (%)","2,618 (55.5)","14,977 (32.3)",<0.001
"Obesity (BMI>=30), n (%)","1,678 (35.6)","16,955 (36.5)",0.222
  Never smoker,"2,084 (44.2)","25,778 (55.5)",<0.001
  Former smoker,"1,892 (40.2)","10,677 (23.0)",
  Current smoker,736 (15.6),"9,963 (21.5)",
"Follow-up years, median [IQR]","6.9 [3.5, 11.2]","9.4 [5.1, 14.2]",<0.001
"All-cause mortality, n (%)","1,676 (35.5)","6,102 (13.1)",<0.001
