Variable,Alive,Deceased,P-value
N,"3,039","1,676",
"Age, mean (SD)",61.3 (14.7),73.6 (9.9),<0.001
"Female, n (%)","1,783 (58.7)",708 (42.2),<0.001
  Non-Hispanic White,"1,984 (65.3)","1,274 (76.0)",<0.001
  Non-Hispanic Black,428 (14.1),238 (14.2),
  Mexican American,254 (8.4),82 (4.9),
  Other Hispanic,204 (6.7),40 (2.4),
  Other/Multi,169 (5.6),42 (2.5),
"BMI, mean (SD)",29.4 (6.6),27.7 (6.0),<0.001
"HbA1c %, mean (SD)",5.8 (1.0),5.9 (1.0),0.018
"Diabetes, n (%)",600 (19.7),433 (25.8),<0.001
"Hypertension, n (%)","1,554 (51.1)","1,064 (63.5)",<0.001
"Obesity, n (%)","1,193 (39.3)",485 (28.9),<0.001
  Never smoker,"1,457 (48.0)",627 (37.4),<0.001
  Former smoker,"1,073 (35.3)",819 (48.9),
  Current smoker,506 (16.7),230 (13.7),
"Follow-up years, median [IQR]","8.0 [4.2, 12.2]","5.3 [2.6, 9.1]",<0.001
